Cidade;Cursos;Disputa;Nota;Sigla
Rio Grande do Sul, Brasil;Administração;Ampla concor.;628,85;FURG
Rio Grande do Sul, Brasil;Administração;Ampla concor.;612,98;FURG
Rio Grande do Sul, Brasil;Administração;Cota racial;594,39;FURG
Rio Grande do Sul, Brasil;Administração;Cota racial;561,06;FURG
Rio Grande do Sul, Brasil;Administração;Cota racial 1,5 salário mínimo;583,71;FURG
Rio Grande do Sul, Brasil;Administração;Cota racial 1,5 salário mínimo;568,91;FURG
Rio Grande do Sul, Brasil;Administração;Esc. Pública 1,5 salário mínimo;590,45;FURG
Rio Grande do Sul, Brasil;Administração;Esc. Pública 1,5 salário mínimo;585,37;FURG
Rio Grande do Sul, Brasil;Administração;Escola Pública;622,16;FURG
Rio Grande do Sul, Brasil;Administração;Escola Pública;617,22;FURG
Rio Grande do Sul, Brasil;Administração;PNE + Pronaf;555,91;FURG
Rio Grande do Sul, Brasil;Administração;PNE 1,5 salário mínimo;458,67;FURG
Rio Grande do Sul, Brasil;Arqueologia;Ampla concor.;639,22;FURG
Rio Grande do Sul, Brasil;Arqueologia;Cota racial;518,16;FURG
Rio Grande do Sul, Brasil;Arqueologia;Cota racial 1,5 salário mínimo;566,44;FURG
Rio Grande do Sul, Brasil;Arqueologia;Esc. Pública 1,5 salário mínimo;577,08;FURG
Rio Grande do Sul, Brasil;Arqueologia;Escola Pública;638,12;FURG
Rio Grande do Sul, Brasil;Arqueologia;PNE + Pronaf;438,25;FURG
Rio Grande do Sul, Brasil;Arqueologia;PNE Esc. Pública;531,96;FURG
Rio Grande do Sul, Brasil;Arquivologia;Ampla concor.;533,25;FURG
Rio Grande do Sul, Brasil;Arquivologia;Cota racial;534,64;FURG
Rio Grande do Sul, Brasil;Arquivologia;Cota racial 1,5 salário mínimo;513,42;FURG
Rio Grande do Sul, Brasil;Arquivologia;Esc. Pública 1,5 salário mínimo;535,21;FURG
Rio Grande do Sul, Brasil;Arquivologia;Escola Pública;528,04;FURG
Rio Grande do Sul, Brasil;Arquivologia;PNE + Pronaf;424,01;FURG
Rio Grande do Sul, Brasil;Artes Visuais;Ampla concor.;652,59;FURG
Rio Grande do Sul, Brasil;Artes Visuais;Ampla concor.;606,46;FURG
Rio Grande do Sul, Brasil;Artes Visuais;Cota racial;588,21;FURG
Rio Grande do Sul, Brasil;Artes Visuais;Cota racial;570,28;FURG
Rio Grande do Sul, Brasil;Artes Visuais;Cota racial 1,5 salário mínimo;566,93;FURG
Rio Grande do Sul, Brasil;Artes Visuais;Cota racial 1,5 salário mínimo;554,73;FURG
Rio Grande do Sul, Brasil;Artes Visuais;Esc. Pública 1,5 salário mínimo;581,14;FURG
Rio Grande do Sul, Brasil;Artes Visuais;Esc. Pública 1,5 salário mínimo;572,21;FURG
Rio Grande do Sul, Brasil;Artes Visuais;Escola Pública;640,16;FURG
Rio Grande do Sul, Brasil;Artes Visuais;Escola Pública;580,08;FURG
Rio Grande do Sul, Brasil;Artes Visuais;PNE + Pronaf;520,63;FURG
Rio Grande do Sul, Brasil;Biblioteconomia;Ampla concor.;551,51;FURG
Rio Grande do Sul, Brasil;Biblioteconomia;Cota racial;511,75;FURG
Rio Grande do Sul, Brasil;Biblioteconomia;Cota racial 1,5 salário mínimo;520,01;FURG
Rio Grande do Sul, Brasil;Biblioteconomia;Esc. Pública 1,5 salário mínimo;548,56;FURG
Rio Grande do Sul, Brasil;Biblioteconomia;Escola Pública;516,9;FURG
Rio Grande do Sul, Brasil;Biblioteconomia;PNE 1,5 salário mínimo;504,23;FURG
Rio Grande do Sul, Brasil;Ciências Biológicas;Ampla concor.;652,43;FURG
Rio Grande do Sul, Brasil;Ciências Biológicas;Ampla concor.;545,16;FURG
Rio Grande do Sul, Brasil;Ciências Biológicas;Cota racial;543,26;FURG
Rio Grande do Sul, Brasil;Ciências Biológicas;Cota racial;522,22;FURG
Rio Grande do Sul, Brasil;Ciências Biológicas;Cota racial 1,5 salário mínimo;586,54;FURG
Rio Grande do Sul, Brasil;Ciências Biológicas;Cota racial 1,5 salário mínimo;573,23;FURG
Rio Grande do Sul, Brasil;Ciências Biológicas;Esc. Pública 1,5 salário mínimo;598,76;FURG
Rio Grande do Sul, Brasil;Ciências Biológicas;Esc. Pública 1,5 salário mínimo;566;FURG
Rio Grande do Sul, Brasil;Ciências Biológicas;Escola Pública;640,22;FURG
Rio Grande do Sul, Brasil;Ciências Biológicas;Escola Pública;568,52;FURG
Rio Grande do Sul, Brasil;Ciências Biológicas;PNE + Pronaf;640,7;FURG
Rio Grande do Sul, Brasil;Ciências Biológicas;PNE 1,5 salário mínimo;550,54;FURG
